===== AR (diffusion mu=on) STARTED Mon Jul 27 11:34:54 CEST 2026 =====
objective=diffusion mu=on params=2.209M steps=50000 diff_steps=3 norm=std
step  23800 | loss 0.1484 | aux 0.1459 | lr 1.12e-04 | 0.4 it/s
step  23900 | loss 0.1443 | aux 0.1418 | lr 1.11e-04 | 0.4 it/s
step  24000 | loss 0.1695 | aux 0.1667 | lr 1.11e-04 | 0.4 it/s
  [eval] step 24000 | EMA avg NMSE -9.24 dB (step1 -20.31, step10 -5.55)
step  24100 | loss 0.1473 | aux 0.1447 | lr 1.10e-04 | 0.4 it/s
step  24200 | loss 0.1528 | aux 0.1502 | lr 1.09e-04 | 0.4 it/s
step  24300 | loss 0.1388 | aux 0.1364 | lr 1.09e-04 | 0.4 it/s
step  24400 | loss 0.1645 | aux 0.1618 | lr 1.08e-04 | 0.4 it/s
step  24500 | loss 0.1568 | aux 0.1542 | lr 1.07e-04 | 0.4 it/s
step  24600 | loss 0.1572 | aux 0.1546 | lr 1.07e-04 | 0.4 it/s
step  24700 | loss 0.1545 | aux 0.1519 | lr 1.06e-04 | 0.4 it/s
step  24800 | loss 0.1468 | aux 0.1442 | lr 1.05e-04 | 0.4 it/s
step  24900 | loss 0.1612 | aux 0.1586 | lr 1.05e-04 | 0.4 it/s
step  25000 | loss 0.1435 | aux 0.1410 | lr 1.04e-04 | 0.4 it/s
step  25100 | loss 0.1597 | aux 0.1570 | lr 1.04e-04 | 0.4 it/s
step  25200 | loss 0.1511 | aux 0.1486 | lr 1.03e-04 | 0.4 it/s
step  25300 | loss 0.1458 | aux 0.1432 | lr 1.02e-04 | 0.4 it/s
step  25400 | loss 0.1561 | aux 0.1535 | lr 1.02e-04 | 0.4 it/s
step  25500 | loss 0.1371 | aux 0.1346 | lr 1.01e-04 | 0.4 it/s
step  25600 | loss 0.1555 | aux 0.1530 | lr 1.00e-04 | 0.4 it/s
step  25700 | loss 0.1450 | aux 0.1425 | lr 9.97e-05 | 0.4 it/s
step  25800 | loss 0.1534 | aux 0.1508 | lr 9.91e-05 | 0.4 it/s
step  25900 | loss 0.1666 | aux 0.1639 | lr 9.85e-05 | 0.4 it/s
step  26000 | loss 0.1503 | aux 0.1478 | lr 9.78e-05 | 0.4 it/s
  [eval] step 26000 | EMA avg NMSE -9.26 dB (step1 -20.37, step10 -5.56)
step  26100 | loss 0.1570 | aux 0.1544 | lr 9.72e-05 | 0.4 it/s
step  26200 | loss 0.1506 | aux 0.1481 | lr 9.66e-05 | 0.4 it/s
step  26300 | loss 0.1296 | aux 0.1273 | lr 9.59e-05 | 0.4 it/s
step  26400 | loss 0.1562 | aux 0.1536 | lr 9.53e-05 | 0.4 it/s
step  26500 | loss 0.1526 | aux 0.1500 | lr 9.47e-05 | 0.4 it/s
step  26600 | loss 0.1424 | aux 0.1399 | lr 9.40e-05 | 0.4 it/s
step  26700 | loss 0.1388 | aux 0.1363 | lr 9.34e-05 | 0.4 it/s
step  26800 | loss 0.1486 | aux 0.1461 | lr 9.28e-05 | 0.4 it/s
step  26900 | loss 0.1661 | aux 0.1634 | lr 9.21e-05 | 0.4 it/s
step  27000 | loss 0.1440 | aux 0.1415 | lr 9.15e-05 | 0.4 it/s
step  27100 | loss 0.1569 | aux 0.1543 | lr 9.09e-05 | 0.4 it/s
step  27200 | loss 0.1402 | aux 0.1377 | lr 9.02e-05 | 0.4 it/s
step  27300 | loss 0.1471 | aux 0.1446 | lr 8.96e-05 | 0.4 it/s
step  27400 | loss 0.1430 | aux 0.1405 | lr 8.90e-05 | 0.4 it/s
