===== DIFFUSION TRAIN STARTED AT Thu Jul  2 17:25:11 CEST 2026 =====
device=cuda out_dir=runs/diu_6793522 steps=80000 batch=512 lr=0.001
building fixed validation set ...
step      0 | huber 0.0078 | lr 1.00e-06 | 0.3 it/s
step  17300 | huber 0.0011 | lr 9.00e-04 | 0.8 it/s
step  17400 | huber 0.0011 | lr 8.98e-04 | 0.8 it/s
step  17500 | huber 0.0011 | lr 8.97e-04 | 0.8 it/s
step  17600 | huber 0.0011 | lr 8.96e-04 | 0.8 it/s
step  17700 | huber 0.0011 | lr 8.95e-04 | 0.8 it/s
step  17800 | huber 0.0011 | lr 8.94e-04 | 0.8 it/s
step  17900 | huber 0.0011 | lr 8.92e-04 | 0.8 it/s
step  18000 | huber 0.0011 | lr 8.91e-04 | 0.8 it/s
  [eval] step 18000 | EMA avg NMSE -7.74 dB (step1 -19.73, step10 -3.77)
step  18100 | huber 0.0011 | lr 8.90e-04 | 0.8 it/s
step  18200 | huber 0.0011 | lr 8.89e-04 | 0.8 it/s
step  18300 | huber 0.0011 | lr 8.87e-04 | 0.8 it/s
step  18400 | huber 0.0011 | lr 8.86e-04 | 0.8 it/s
step  18500 | huber 0.0011 | lr 8.85e-04 | 0.8 it/s
step  18600 | huber 0.0011 | lr 8.84e-04 | 0.8 it/s
step  18700 | huber 0.0011 | lr 8.82e-04 | 0.8 it/s
step  18800 | huber 0.0011 | lr 8.81e-04 | 0.8 it/s
step  18900 | huber 0.0011 | lr 8.80e-04 | 0.8 it/s
step  19000 | huber 0.0011 | lr 8.79e-04 | 0.8 it/s
step  19100 | huber 0.0011 | lr 8.77e-04 | 0.8 it/s
step  19200 | huber 0.0011 | lr 8.76e-04 | 0.8 it/s
step  19300 | huber 0.0011 | lr 8.75e-04 | 0.8 it/s
step  19400 | huber 0.0011 | lr 8.73e-04 | 0.8 it/s
step  19500 | huber 0.0011 | lr 8.72e-04 | 0.8 it/s
step  19600 | huber 0.0011 | lr 8.71e-04 | 0.8 it/s
step  19700 | huber 0.0011 | lr 8.69e-04 | 0.8 it/s
step  19800 | huber 0.0011 | lr 8.68e-04 | 0.8 it/s
step  19900 | huber 0.0011 | lr 8.67e-04 | 0.8 it/s
step  20000 | huber 0.0011 | lr 8.65e-04 | 0.8 it/s
  [eval] step 20000 | EMA avg NMSE -7.80 dB (step1 -19.87, step10 -3.79)
step  20100 | huber 0.0011 | lr 8.64e-04 | 0.8 it/s
step  20200 | huber 0.0011 | lr 8.63e-04 | 0.8 it/s
step  20300 | huber 0.0011 | lr 8.61e-04 | 0.8 it/s
step  20400 | huber 0.0011 | lr 8.60e-04 | 0.8 it/s
step  20500 | huber 0.0011 | lr 8.58e-04 | 0.8 it/s
step  20600 | huber 0.0011 | lr 8.57e-04 | 0.8 it/s
step  20700 | huber 0.0011 | lr 8.56e-04 | 0.8 it/s
step  20800 | huber 0.0011 | lr 8.54e-04 | 0.8 it/s
step  20900 | huber 0.0011 | lr 8.53e-04 | 0.8 it/s
step  21000 | huber 0.0011 | lr 8.52e-04 | 0.8 it/s
step  21100 | huber 0.0011 | lr 8.50e-04 | 0.8 it/s
step  21200 | huber 0.0011 | lr 8.49e-04 | 0.8 it/s
