===== TRAIN STARTED AT Wed Jul  1 16:44:21 CEST 2026 =====
device=cuda out_dir=runs/mf_6790263 steps=50000 batch=128 lr=0.0002
building fixed validation set ...
step      0 | mse 1.2617 | lr 2.00e-07 | 0.4 it/s
step  15500 | mse 0.1974 | lr 2.00e-04 | 1.9 it/s
step  15600 | mse 0.2106 | lr 2.00e-04 | 1.9 it/s
step  15700 | mse 0.1885 | lr 2.00e-04 | 1.9 it/s
step  15800 | mse 0.1819 | lr 2.00e-04 | 1.9 it/s
step  15900 | mse 0.1809 | lr 2.00e-04 | 1.9 it/s
step  16000 | mse 0.1915 | lr 2.00e-04 | 1.9 it/s
  [eval] step 16000 | avg NMSE -5.88 dB (step1 -6.90, step10 -5.43)
step  16100 | mse 0.1784 | lr 2.00e-04 | 1.9 it/s
step  16200 | mse 0.2115 | lr 2.00e-04 | 1.9 it/s
step  16300 | mse 0.1623 | lr 2.00e-04 | 1.9 it/s
step  16400 | mse 0.1617 | lr 2.00e-04 | 1.9 it/s
step  16500 | mse 0.2244 | lr 2.00e-04 | 1.9 it/s
step  16600 | mse 0.1662 | lr 2.00e-04 | 1.9 it/s
step  16700 | mse 0.2027 | lr 2.00e-04 | 1.9 it/s
step  16800 | mse 0.1717 | lr 2.00e-04 | 1.9 it/s
step  16900 | mse 0.1675 | lr 2.00e-04 | 1.9 it/s
step  17000 | mse 0.1410 | lr 2.00e-04 | 1.9 it/s
step  17100 | mse 0.1848 | lr 2.00e-04 | 1.9 it/s
step  17200 | mse 0.1821 | lr 2.00e-04 | 1.9 it/s
step  17300 | mse 0.2007 | lr 2.00e-04 | 1.9 it/s
step  17400 | mse 0.1761 | lr 2.00e-04 | 1.9 it/s
step  17500 | mse 0.1595 | lr 2.00e-04 | 1.9 it/s
step  17600 | mse 0.1827 | lr 2.00e-04 | 1.9 it/s
step  17700 | mse 0.1698 | lr 2.00e-04 | 1.9 it/s
step  17800 | mse 0.1599 | lr 2.00e-04 | 1.9 it/s
step  17900 | mse 0.1670 | lr 2.00e-04 | 1.9 it/s
step  18000 | mse 0.1717 | lr 2.00e-04 | 1.9 it/s
  [eval] step 18000 | avg NMSE -7.09 dB (step1 -8.59, step10 -6.31)
step  18100 | mse 0.1957 | lr 2.00e-04 | 1.9 it/s
step  18200 | mse 0.1759 | lr 2.00e-04 | 1.9 it/s
step  18300 | mse 0.1818 | lr 2.00e-04 | 1.9 it/s
step  18400 | mse 0.1649 | lr 2.00e-04 | 1.9 it/s
step  18500 | mse 0.1655 | lr 2.00e-04 | 1.9 it/s
step  18600 | mse 0.1460 | lr 2.00e-04 | 1.9 it/s
step  18700 | mse 0.1692 | lr 2.00e-04 | 1.9 it/s
step  18800 | mse 0.1759 | lr 2.00e-04 | 1.9 it/s
step  18900 | mse 0.1703 | lr 2.00e-04 | 1.9 it/s
step  19000 | mse 0.1580 | lr 2.00e-04 | 1.9 it/s
step  19100 | mse 0.2016 | lr 2.00e-04 | 1.9 it/s
step  19200 | mse 0.1650 | lr 2.00e-04 | 1.9 it/s
step  19300 | mse 0.1931 | lr 2.00e-04 | 1.9 it/s
step  19400 | mse 0.1490 | lr 2.00e-04 | 1.9 it/s
step  19500 | mse 0.1489 | lr 2.00e-04 | 1.9 it/s
step  19600 | mse 0.1576 | lr 2.00e-04 | 1.9 it/s
step  19700 | mse 0.1437 | lr 2.00e-04 | 1.9 it/s
step  19800 | mse 0.1639 | lr 2.00e-04 | 1.9 it/s
step  19900 | mse 0.1680 | lr 2.00e-04 | 1.9 it/s
step  20000 | mse 0.1546 | lr 2.00e-04 | 1.9 it/s
  [eval] step 20000 | avg NMSE -8.27 dB (step1 -9.97, step10 -7.04)
step  20100 | mse 0.1457 | lr 2.00e-04 | 1.9 it/s
step  20200 | mse 0.1623 | lr 2.00e-04 | 1.9 it/s
step  20300 | mse 0.1741 | lr 2.00e-04 | 1.9 it/s
step  20400 | mse 0.1557 | lr 2.00e-04 | 1.9 it/s
step  20500 | mse 0.1726 | lr 2.00e-04 | 1.9 it/s
step  20600 | mse 0.1703 | lr 2.00e-04 | 1.9 it/s
step  20700 | mse 0.1731 | lr 2.00e-04 | 1.9 it/s
step  20800 | mse 0.1801 | lr 2.00e-04 | 1.9 it/s
step  20900 | mse 0.1631 | lr 2.00e-04 | 1.9 it/s
step  21000 | mse 0.1749 | lr 2.00e-04 | 1.9 it/s
step  21100 | mse 0.1469 | lr 2.00e-04 | 1.9 it/s
step  21200 | mse 0.1617 | lr 2.00e-04 | 1.9 it/s
step  21300 | mse 0.1658 | lr 2.00e-04 | 1.9 it/s
step  21400 | mse 0.1608 | lr 2.00e-04 | 1.9 it/s
step  21500 | mse 0.1799 | lr 2.00e-04 | 1.9 it/s
step  21600 | mse 0.1692 | lr 2.00e-04 | 1.9 it/s
step  21700 | mse 0.1723 | lr 2.00e-04 | 1.9 it/s
step  21800 | mse 0.1588 | lr 2.00e-04 | 1.9 it/s
step  21900 | mse 0.1790 | lr 2.00e-04 | 1.9 it/s
step  22000 | mse 0.1566 | lr 2.00e-04 | 1.9 it/s
  [eval] step 22000 | avg NMSE -9.09 dB (step1 -11.32, step10 -7.76)
step  22100 | mse 0.1854 | lr 2.00e-04 | 1.9 it/s
step  22200 | mse 0.1706 | lr 2.00e-04 | 1.9 it/s
step  22300 | mse 0.1373 | lr 2.00e-04 | 1.9 it/s
step  22400 | mse 0.1795 | lr 2.00e-04 | 1.9 it/s
step  22500 | mse 0.1555 | lr 2.00e-04 | 1.9 it/s
step  22600 | mse 0.1732 | lr 2.00e-04 | 1.9 it/s
step  22700 | mse 0.1668 | lr 2.00e-04 | 1.9 it/s
step  22800 | mse 0.1734 | lr 2.00e-04 | 1.9 it/s
step  22900 | mse 0.1958 | lr 2.00e-04 | 1.9 it/s
step  23000 | mse 0.1523 | lr 2.00e-04 | 1.9 it/s
step  23100 | mse 0.1723 | lr 2.00e-04 | 1.9 it/s
step  23200 | mse 0.1436 | lr 2.00e-04 | 1.9 it/s
step  23300 | mse 0.1616 | lr 2.00e-04 | 1.9 it/s
step  23400 | mse 0.1485 | lr 2.00e-04 | 1.9 it/s
step  23500 | mse 0.1350 | lr 2.00e-04 | 1.9 it/s
step  23600 | mse 0.1719 | lr 2.00e-04 | 1.9 it/s
step  23700 | mse 0.1550 | lr 2.00e-04 | 1.9 it/s
step  23800 | mse 0.1786 | lr 2.00e-04 | 1.9 it/s
step  23900 | mse 0.1392 | lr 2.00e-04 | 1.9 it/s
step  24000 | mse 0.1770 | lr 2.00e-04 | 1.9 it/s
  [eval] step 24000 | avg NMSE -9.46 dB (step1 -12.14, step10 -7.92)
step  24100 | mse 0.1541 | lr 2.00e-04 | 1.9 it/s
step  24200 | mse 0.1544 | lr 2.00e-04 | 1.9 it/s
step  24300 | mse 0.1658 | lr 2.00e-04 | 1.9 it/s
step  24400 | mse 0.1420 | lr 2.00e-04 | 1.9 it/s
step  24500 | mse 0.1269 | lr 2.00e-04 | 1.9 it/s
step  24600 | mse 0.1656 | lr 2.00e-04 | 1.9 it/s
step  24700 | mse 0.1560 | lr 2.00e-04 | 1.9 it/s
step  24800 | mse 0.1835 | lr 2.00e-04 | 1.9 it/s
step  24900 | mse 0.1529 | lr 2.00e-04 | 1.9 it/s
step  25000 | mse 0.1248 | lr 2.00e-04 | 1.9 it/s
step  25100 | mse 0.1354 | lr 2.00e-04 | 1.9 it/s
step  25200 | mse 0.1526 | lr 2.00e-04 | 1.9 it/s
step  25300 | mse 0.1663 | lr 2.00e-04 | 1.9 it/s
step  25400 | mse 0.1504 | lr 2.00e-04 | 1.9 it/s
step  25500 | mse 0.1499 | lr 2.00e-04 | 1.9 it/s
step  25600 | mse 0.1734 | lr 2.00e-04 | 1.9 it/s
step  25700 | mse 0.1786 | lr 2.00e-04 | 1.9 it/s
step  25800 | mse 0.1675 | lr 2.00e-04 | 1.9 it/s
step  25900 | mse 0.1609 | lr 2.00e-04 | 1.9 it/s
step  26000 | mse 0.1454 | lr 2.00e-04 | 1.9 it/s
  [eval] step 26000 | avg NMSE -9.74 dB (step1 -12.79, step10 -8.02)
step  26100 | mse 0.1578 | lr 2.00e-04 | 1.9 it/s
step  26200 | mse 0.1309 | lr 2.00e-04 | 1.9 it/s
step  26300 | mse 0.1336 | lr 2.00e-04 | 1.9 it/s
step  26400 | mse 0.1607 | lr 2.00e-04 | 1.9 it/s
step  26500 | mse 0.1193 | lr 2.00e-04 | 1.9 it/s
step  26600 | mse 0.1532 | lr 2.00e-04 | 1.9 it/s
step  26700 | mse 0.1402 | lr 2.00e-04 | 1.9 it/s
step  26800 | mse 0.1386 | lr 2.00e-04 | 1.9 it/s
step  26900 | mse 0.1587 | lr 2.00e-04 | 1.9 it/s
step  27000 | mse 0.1603 | lr 2.00e-04 | 1.9 it/s
step  27100 | mse 0.1332 | lr 2.00e-04 | 1.9 it/s
step  27200 | mse 0.1282 | lr 2.00e-04 | 1.9 it/s
step  27300 | mse 0.1562 | lr 2.00e-04 | 1.9 it/s
step  27400 | mse 0.1358 | lr 2.00e-04 | 1.9 it/s
step  27500 | mse 0.1699 | lr 2.00e-04 | 1.9 it/s
step  27600 | mse 0.1377 | lr 2.00e-04 | 1.9 it/s
step  27700 | mse 0.1411 | lr 2.00e-04 | 1.9 it/s
step  27800 | mse 0.1263 | lr 2.00e-04 | 1.9 it/s
step  27900 | mse 0.1482 | lr 2.00e-04 | 1.9 it/s
step  28000 | mse 0.1905 | lr 2.00e-04 | 1.9 it/s
  [eval] step 28000 | avg NMSE -9.69 dB (step1 -12.85, step10 -7.62)
step  28100 | mse 0.1405 | lr 2.00e-04 | 1.9 it/s
step  28200 | mse 0.1542 | lr 2.00e-04 | 1.9 it/s
step  28300 | mse 0.1497 | lr 2.00e-04 | 1.9 it/s
step  28400 | mse 0.1523 | lr 2.00e-04 | 1.9 it/s
step  28500 | mse 0.1477 | lr 2.00e-04 | 1.9 it/s
step  28600 | mse 0.1291 | lr 2.00e-04 | 1.9 it/s
step  28700 | mse 0.1417 | lr 2.00e-04 | 1.9 it/s
step  28800 | mse 0.1632 | lr 2.00e-04 | 1.9 it/s
step  28900 | mse 0.1499 | lr 2.00e-04 | 1.9 it/s
step  29000 | mse 0.1312 | lr 2.00e-04 | 1.9 it/s
step  29100 | mse 0.1422 | lr 2.00e-04 | 1.9 it/s
step  29200 | mse 0.1232 | lr 2.00e-04 | 1.9 it/s
step  29300 | mse 0.1890 | lr 2.00e-04 | 1.9 it/s
step  29400 | mse 0.1394 | lr 2.00e-04 | 1.9 it/s
step  29500 | mse 0.1361 | lr 2.00e-04 | 1.9 it/s
step  29600 | mse 0.1252 | lr 2.00e-04 | 1.9 it/s
step  29700 | mse 0.1242 | lr 2.00e-04 | 1.9 it/s
step  29800 | mse 0.1316 | lr 2.00e-04 | 1.9 it/s
step  29900 | mse 0.1376 | lr 2.00e-04 | 1.9 it/s
step  30000 | mse 0.1413 | lr 2.00e-04 | 1.9 it/s
  [eval] step 30000 | avg NMSE -9.81 dB (step1 -12.83, step10 -7.80)
step  30100 | mse 0.1376 | lr 2.00e-04 | 1.9 it/s
step  30200 | mse 0.1376 | lr 2.00e-04 | 1.9 it/s
step  30300 | mse 0.1423 | lr 2.00e-04 | 1.9 it/s
step  30400 | mse 0.1767 | lr 2.00e-04 | 1.9 it/s
step  30500 | mse 0.1296 | lr 2.00e-04 | 1.9 it/s
step  30600 | mse 0.1395 | lr 2.00e-04 | 1.9 it/s
step  30700 | mse 0.1291 | lr 2.00e-04 | 1.9 it/s
step  30800 | mse 0.1293 | lr 2.00e-04 | 1.9 it/s
step  30900 | mse 0.1113 | lr 2.00e-04 | 1.9 it/s
step  31000 | mse 0.1412 | lr 2.00e-04 | 1.9 it/s
step  31100 | mse 0.1462 | lr 2.00e-04 | 1.9 it/s
step  31200 | mse 0.1601 | lr 2.00e-04 | 1.9 it/s
step  31300 | mse 0.1509 | lr 2.00e-04 | 1.9 it/s
step  31400 | mse 0.1341 | lr 2.00e-04 | 1.9 it/s
step  31500 | mse 0.1302 | lr 2.00e-04 | 1.9 it/s
step  31600 | mse 0.1283 | lr 2.00e-04 | 1.9 it/s
step  31700 | mse 0.1321 | lr 2.00e-04 | 1.9 it/s
step  31800 | mse 0.1237 | lr 2.00e-04 | 1.9 it/s
step  31900 | mse 0.1283 | lr 2.00e-04 | 1.9 it/s
step  32000 | mse 0.1229 | lr 2.00e-04 | 1.9 it/s
  [eval] step 32000 | avg NMSE -9.64 dB (step1 -12.59, step10 -7.52)
step  32100 | mse 0.1273 | lr 2.00e-04 | 1.9 it/s
step  32200 | mse 0.1573 | lr 2.00e-04 | 1.9 it/s
step  32300 | mse 0.1548 | lr 2.00e-04 | 1.9 it/s
step  32400 | mse 0.1395 | lr 2.00e-04 | 1.9 it/s
step  32500 | mse 0.1103 | lr 2.00e-04 | 1.9 it/s
step  32600 | mse 0.1295 | lr 2.00e-04 | 1.9 it/s
step  32700 | mse 0.1249 | lr 2.00e-04 | 1.9 it/s
step  32800 | mse 0.1266 | lr 2.00e-04 | 1.9 it/s
step  32900 | mse 0.1331 | lr 2.00e-04 | 1.9 it/s
step  33000 | mse 0.1352 | lr 2.00e-04 | 1.9 it/s
step  33100 | mse 0.1218 | lr 2.00e-04 | 1.9 it/s
step  33200 | mse 0.1341 | lr 2.00e-04 | 1.9 it/s
step  33300 | mse 0.1292 | lr 2.00e-04 | 1.9 it/s
step  33400 | mse 0.1482 | lr 2.00e-04 | 1.9 it/s
step  33500 | mse 0.1339 | lr 2.00e-04 | 1.9 it/s
step  33600 | mse 0.1425 | lr 2.00e-04 | 1.9 it/s
step  33700 | mse 0.1522 | lr 2.00e-04 | 1.9 it/s
step  33800 | mse 0.1258 | lr 2.00e-04 | 1.9 it/s
step  33900 | mse 0.1379 | lr 2.00e-04 | 1.9 it/s
step  34000 | mse 0.1148 | lr 2.00e-04 | 1.9 it/s
  [eval] step 34000 | avg NMSE -9.52 dB (step1 -12.37, step10 -7.48)
step  34100 | mse 0.1381 | lr 2.00e-04 | 1.9 it/s
step  34200 | mse 0.1359 | lr 2.00e-04 | 1.9 it/s
step  34300 | mse 0.1334 | lr 2.00e-04 | 1.9 it/s
step  34400 | mse 0.1273 | lr 2.00e-04 | 1.9 it/s
step  34500 | mse 0.1336 | lr 2.00e-04 | 1.9 it/s
step  34600 | mse 0.1228 | lr 2.00e-04 | 1.9 it/s
step  34700 | mse 0.1439 | lr 2.00e-04 | 1.9 it/s
step  34800 | mse 0.1170 | lr 2.00e-04 | 1.9 it/s
step  34900 | mse 0.1241 | lr 2.00e-04 | 1.9 it/s
step  35000 | mse 0.1304 | lr 2.00e-04 | 1.9 it/s
step  35100 | mse 0.1359 | lr 2.00e-04 | 1.9 it/s
step  35200 | mse 0.1518 | lr 2.00e-04 | 1.9 it/s
step  35300 | mse 0.1286 | lr 2.00e-04 | 1.9 it/s
step  35400 | mse 0.1503 | lr 2.00e-04 | 1.9 it/s
step  35500 | mse 0.1571 | lr 2.00e-04 | 1.9 it/s
step  35600 | mse 0.1265 | lr 2.00e-04 | 1.9 it/s
step  35700 | mse 0.1367 | lr 2.00e-04 | 1.9 it/s
step  35800 | mse 0.1421 | lr 2.00e-04 | 1.9 it/s
step  35900 | mse 0.1276 | lr 2.00e-04 | 1.9 it/s
step  36000 | mse 0.1275 | lr 2.00e-04 | 1.9 it/s
  [eval] step 36000 | avg NMSE -9.40 dB (step1 -12.13, step10 -7.32)
step  36100 | mse 0.1394 | lr 2.00e-04 | 1.9 it/s
step  36200 | mse 0.1329 | lr 2.00e-04 | 1.9 it/s
