===== SEQ2SEQ (diffusion/small) STARTED Sun Jul 26 13:50:08 CEST 2026 =====
objective=diffusion size=small params=0.698M steps=50000 batch=256 lr=0.0002 norm=global_std
global-std (mu, sd) = (0.0335, 0.7063)
step      0 | loss 0.0140 | lr 2.00e-07 | 0.5 it/s
step  34600 | loss 0.0030 | lr 4.65e-05 | 2.2 it/s
step  34700 | loss 0.0030 | lr 4.59e-05 | 2.2 it/s
step  34800 | loss 0.0030 | lr 4.54e-05 | 2.2 it/s
step  34900 | loss 0.0030 | lr 4.49e-05 | 2.2 it/s
step  35000 | loss 0.0031 | lr 4.44e-05 | 2.2 it/s
step  35100 | loss 0.0030 | lr 4.38e-05 | 2.2 it/s
step  35200 | loss 0.0030 | lr 4.33e-05 | 2.2 it/s
step  35300 | loss 0.0031 | lr 4.28e-05 | 2.2 it/s
step  35400 | loss 0.0031 | lr 4.23e-05 | 2.2 it/s
step  35500 | loss 0.0030 | lr 4.18e-05 | 2.2 it/s
step  35600 | loss 0.0030 | lr 4.13e-05 | 2.2 it/s
step  35700 | loss 0.0030 | lr 4.08e-05 | 2.2 it/s
step  35800 | loss 0.0031 | lr 4.03e-05 | 2.2 it/s
step  35900 | loss 0.0030 | lr 3.98e-05 | 2.2 it/s
step  36000 | loss 0.0030 | lr 3.93e-05 | 2.2 it/s
  [eval] step 36000 | EMA avg NMSE -3.98 dB (step1 -6.16, step10 -2.90)
