===== REGRESSION TRAIN STARTED AT Sat Jul 25 20:46:05 CEST 2026 =====
device=cuda out_dir=runs/reg_6915230 steps=50000 batch=256 lr=0.0002 (JointRegressor, joint 10-frame)
building fixed validation set ...
step      0 | mse 1.1911 | lr 2.00e-07 | 0.4 it/s
step  16000 | mse 0.2221 | lr 1.58e-04 | 1.2 it/s
  [eval] step 16000 | EMA avg NMSE -10.87 dB (step1 -16.40, step10 -8.08) | raw -10.33 dB
step  16100 | mse 0.2451 | lr 1.57e-04 | 1.2 it/s
step  16200 | mse 0.2470 | lr 1.57e-04 | 1.2 it/s
step  16300 | mse 0.2256 | lr 1.56e-04 | 1.2 it/s
step  16400 | mse 0.2481 | lr 1.56e-04 | 1.2 it/s
step  16500 | mse 0.2489 | lr 1.55e-04 | 1.2 it/s
step  16600 | mse 0.2278 | lr 1.54e-04 | 1.2 it/s
step  16700 | mse 0.2471 | lr 1.54e-04 | 1.2 it/s
step  16800 | mse 0.2286 | lr 1.53e-04 | 1.2 it/s
step  16900 | mse 0.2351 | lr 1.53e-04 | 1.2 it/s
step  17000 | mse 0.2242 | lr 1.52e-04 | 1.2 it/s
step  17100 | mse 0.2016 | lr 1.52e-04 | 1.2 it/s
step  17200 | mse 0.2608 | lr 1.51e-04 | 1.2 it/s
step  17300 | mse 0.2296 | lr 1.51e-04 | 1.2 it/s
step  17400 | mse 0.2406 | lr 1.50e-04 | 1.2 it/s
step  17500 | mse 0.2484 | lr 1.50e-04 | 1.2 it/s
step  17600 | mse 0.2232 | lr 1.49e-04 | 1.2 it/s
step  17700 | mse 0.2302 | lr 1.48e-04 | 1.2 it/s
step  17800 | mse 0.2415 | lr 1.48e-04 | 1.2 it/s
step  17900 | mse 0.2195 | lr 1.47e-04 | 1.2 it/s
step  18000 | mse 0.2217 | lr 1.47e-04 | 1.2 it/s
  [eval] step 18000 | EMA avg NMSE -11.12 dB (step1 -16.70, step10 -8.26) | raw -10.82 dB
step  18100 | mse 0.2300 | lr 1.46e-04 | 1.2 it/s
step  18200 | mse 0.2421 | lr 1.46e-04 | 1.2 it/s
step  18300 | mse 0.2396 | lr 1.45e-04 | 1.2 it/s
step  18400 | mse 0.2280 | lr 1.45e-04 | 1.2 it/s
step  18500 | mse 0.2084 | lr 1.44e-04 | 1.2 it/s
step  18600 | mse 0.2274 | lr 1.43e-04 | 1.2 it/s
step  18700 | mse 0.2268 | lr 1.43e-04 | 1.2 it/s
step  18800 | mse 0.2316 | lr 1.42e-04 | 1.2 it/s
step  18900 | mse 0.2522 | lr 1.42e-04 | 1.2 it/s
step  19000 | mse 0.2574 | lr 1.41e-04 | 1.2 it/s
step  19100 | mse 0.2323 | lr 1.40e-04 | 1.2 it/s
step  19200 | mse 0.2110 | lr 1.40e-04 | 1.2 it/s
step  19300 | mse 0.2225 | lr 1.39e-04 | 1.2 it/s
step  19400 | mse 0.2239 | lr 1.39e-04 | 1.2 it/s
step  19500 | mse 0.2391 | lr 1.38e-04 | 1.2 it/s
step  19600 | mse 0.2400 | lr 1.38e-04 | 1.2 it/s
step  19700 | mse 0.2162 | lr 1.37e-04 | 1.2 it/s
step  19800 | mse 0.2417 | lr 1.36e-04 | 1.2 it/s
step  19900 | mse 0.2177 | lr 1.36e-04 | 1.2 it/s
step  20000 | mse 0.2451 | lr 1.35e-04 | 1.2 it/s
  [eval] step 20000 | EMA avg NMSE -11.28 dB (step1 -16.87, step10 -8.39) | raw -11.10 dB
step  20100 | mse 0.2185 | lr 1.35e-04 | 1.2 it/s
step  20200 | mse 0.2245 | lr 1.34e-04 | 1.2 it/s
step  20300 | mse 0.2447 | lr 1.33e-04 | 1.2 it/s
step  20400 | mse 0.2154 | lr 1.33e-04 | 1.2 it/s
step  20500 | mse 0.2216 | lr 1.32e-04 | 1.2 it/s
step  20600 | mse 0.2294 | lr 1.32e-04 | 1.2 it/s
step  20700 | mse 0.2354 | lr 1.31e-04 | 1.2 it/s
step  20800 | mse 0.2030 | lr 1.30e-04 | 1.2 it/s
step  20900 | mse 0.2314 | lr 1.30e-04 | 1.2 it/s
step  21000 | mse 0.2251 | lr 1.29e-04 | 1.2 it/s
step  21100 | mse 0.2401 | lr 1.29e-04 | 1.2 it/s
step  21200 | mse 0.2421 | lr 1.28e-04 | 1.2 it/s
step  21300 | mse 0.2534 | lr 1.27e-04 | 1.2 it/s
step  21400 | mse 0.2243 | lr 1.27e-04 | 1.2 it/s
step  21500 | mse 0.2427 | lr 1.26e-04 | 1.2 it/s
step  21600 | mse 0.2258 | lr 1.25e-04 | 1.2 it/s
step  21700 | mse 0.2350 | lr 1.25e-04 | 1.2 it/s
step  21800 | mse 0.2241 | lr 1.24e-04 | 1.2 it/s
step  21900 | mse 0.2151 | lr 1.24e-04 | 1.2 it/s
step  22000 | mse 0.2171 | lr 1.23e-04 | 1.2 it/s
  [eval] step 22000 | EMA avg NMSE -11.47 dB (step1 -17.09, step10 -8.54) | raw -11.45 dB
step  22100 | mse 0.2547 | lr 1.22e-04 | 1.2 it/s
step  22200 | mse 0.2398 | lr 1.22e-04 | 1.2 it/s
step  22300 | mse 0.2034 | lr 1.21e-04 | 1.2 it/s
step  22400 | mse 0.2158 | lr 1.21e-04 | 1.2 it/s
step  22500 | mse 0.2299 | lr 1.20e-04 | 1.2 it/s
step  22600 | mse 0.2351 | lr 1.19e-04 | 1.2 it/s
step  22700 | mse 0.2538 | lr 1.19e-04 | 1.2 it/s
