===== SEQ2SEQ (regression/large) STARTED Sun Jul 26 13:50:11 CEST 2026 =====
objective=regression size=large params=1.362M steps=50000 batch=256 lr=0.0002 norm=global_std
global-std (mu, sd) = (0.0326, 0.7064)
step      0 | loss 1.1590 | lr 2.00e-07 | 0.9 it/s
step  14400 | loss 0.2366 | lr 1.66e-04 | 1.2 it/s
step  14500 | loss 0.2437 | lr 1.65e-04 | 1.2 it/s
step  14600 | loss 0.2526 | lr 1.65e-04 | 1.2 it/s
step  14700 | loss 0.2260 | lr 1.64e-04 | 1.2 it/s
step  14800 | loss 0.2307 | lr 1.64e-04 | 1.2 it/s
step  14900 | loss 0.2375 | lr 1.63e-04 | 1.2 it/s
step  15000 | loss 0.2441 | lr 1.63e-04 | 1.2 it/s
step  15100 | loss 0.2547 | lr 1.62e-04 | 1.2 it/s
step  15200 | loss 0.2416 | lr 1.62e-04 | 1.2 it/s
step  15300 | loss 0.2189 | lr 1.61e-04 | 1.2 it/s
step  15400 | loss 0.2501 | lr 1.61e-04 | 1.2 it/s
step  15500 | loss 0.2272 | lr 1.60e-04 | 1.2 it/s
step  15600 | loss 0.2608 | lr 1.60e-04 | 1.2 it/s
step  15700 | loss 0.2382 | lr 1.59e-04 | 1.2 it/s
step  15800 | loss 0.2183 | lr 1.59e-04 | 1.2 it/s
step  15900 | loss 0.2381 | lr 1.58e-04 | 1.2 it/s
step  16000 | loss 0.2166 | lr 1.58e-04 | 1.2 it/s
  [eval] step 16000 | EMA avg NMSE -10.47 dB (step1 -16.13, step10 -7.63)
step  16100 | loss 0.2405 | lr 1.57e-04 | 1.2 it/s
step  16200 | loss 0.2455 | lr 1.57e-04 | 1.2 it/s
step  16300 | loss 0.2209 | lr 1.56e-04 | 1.2 it/s
step  16400 | loss 0.2413 | lr 1.56e-04 | 1.2 it/s
step  16500 | loss 0.2436 | lr 1.55e-04 | 1.2 it/s
step  16600 | loss 0.2219 | lr 1.54e-04 | 1.2 it/s
step  16700 | loss 0.2435 | lr 1.54e-04 | 1.2 it/s
step  16800 | loss 0.2244 | lr 1.53e-04 | 1.2 it/s
step  16900 | loss 0.2329 | lr 1.53e-04 | 1.2 it/s
step  17000 | loss 0.2158 | lr 1.52e-04 | 1.2 it/s
step  17100 | loss 0.1966 | lr 1.52e-04 | 1.2 it/s
step  17200 | loss 0.2532 | lr 1.51e-04 | 1.2 it/s
step  17300 | loss 0.2251 | lr 1.51e-04 | 1.2 it/s
step  17400 | loss 0.2381 | lr 1.50e-04 | 1.2 it/s
step  17500 | loss 0.2445 | lr 1.50e-04 | 1.2 it/s
step  17600 | loss 0.2179 | lr 1.49e-04 | 1.2 it/s
step  17700 | loss 0.2261 | lr 1.48e-04 | 1.2 it/s
step  17800 | loss 0.2373 | lr 1.48e-04 | 1.2 it/s
step  17900 | loss 0.2154 | lr 1.47e-04 | 1.2 it/s
step  18000 | loss 0.2186 | lr 1.47e-04 | 1.2 it/s
  [eval] step 18000 | EMA avg NMSE -10.68 dB (step1 -16.40, step10 -7.79)
step  18100 | loss 0.2254 | lr 1.46e-04 | 1.2 it/s
step  18200 | loss 0.2388 | lr 1.46e-04 | 1.2 it/s
step  18300 | loss 0.2347 | lr 1.45e-04 | 1.2 it/s
step  18400 | loss 0.2244 | lr 1.45e-04 | 1.2 it/s
step  18500 | loss 0.2044 | lr 1.44e-04 | 1.2 it/s
step  18600 | loss 0.2223 | lr 1.43e-04 | 1.2 it/s
step  18700 | loss 0.2220 | lr 1.43e-04 | 1.2 it/s
step  18800 | loss 0.2286 | lr 1.42e-04 | 1.2 it/s
step  18900 | loss 0.2492 | lr 1.42e-04 | 1.2 it/s
step  19000 | loss 0.2524 | lr 1.41e-04 | 1.2 it/s
step  19100 | loss 0.2286 | lr 1.40e-04 | 1.2 it/s
step  19200 | loss 0.2051 | lr 1.40e-04 | 1.2 it/s
step  19300 | loss 0.2206 | lr 1.39e-04 | 1.2 it/s
step  19400 | loss 0.2181 | lr 1.39e-04 | 1.2 it/s
step  19500 | loss 0.2345 | lr 1.38e-04 | 1.2 it/s
step  19600 | loss 0.2371 | lr 1.38e-04 | 1.2 it/s
step  19700 | loss 0.2118 | lr 1.37e-04 | 1.2 it/s
step  19800 | loss 0.2396 | lr 1.36e-04 | 1.2 it/s
step  19900 | loss 0.2158 | lr 1.36e-04 | 1.2 it/s
step  20000 | loss 0.2402 | lr 1.35e-04 | 1.2 it/s
  [eval] step 20000 | EMA avg NMSE -10.87 dB (step1 -16.60, step10 -7.94)
step  20100 | loss 0.2149 | lr 1.35e-04 | 1.2 it/s
step  20200 | loss 0.2189 | lr 1.34e-04 | 1.2 it/s
step  20300 | loss 0.2379 | lr 1.33e-04 | 1.2 it/s
step  20400 | loss 0.2110 | lr 1.33e-04 | 1.2 it/s
step  20500 | loss 0.2156 | lr 1.32e-04 | 1.2 it/s
step  20600 | loss 0.2274 | lr 1.32e-04 | 1.2 it/s
step  20700 | loss 0.2327 | lr 1.31e-04 | 1.2 it/s
step  20800 | loss 0.1971 | lr 1.30e-04 | 1.2 it/s
step  20900 | loss 0.2272 | lr 1.30e-04 | 1.2 it/s
